Molecular-Printed Thermochromic with Fast Color Switching,"['Cho, Sungjun', 'Kim, Gwangmook', 'Lee, Sooun', 'Park, Jinwoo', 'Shim, Wooyoung']",ADVANCED OPTICAL MATERIALS,5,23,DEC 1 2017,wshim@yonsei.ac.kr,"Yonsei Univ, Dept Mat Sci & Engn, Seoul 120749, South Korea.","['Materials Science', 'Optics']","['molecular printing', 'reflective displays', 'thermochromic']","['POLYMER PEN LITHOGRAPHY', 'SOFT LITHOGRAPHY', 'HEAT-TRANSFER', 'ULTRAFAST', 'DISPLAY', 'FILMS', 'NANOLITHOGRAPHY', 'NANOFABRICATION', 'LUMINESCENCE', 'ARRAYS']","[['National Research Foundation of Korea Grant - Korean Government', 'ERC-2015R1A5A1037668']]"
Atomic force microscopy-based characterization and design of biointerfaces,"['Alsteens, David', 'Gaub, Hermann E.', 'Newton, Richard', 'Pfreundschuh, Moritz', 'Gerber, Christoph', 'Muller, Daniel J.']",NATURE REVIEWS MATERIALS,2,5,May-17,daniel.mueller@bsse.ethz.ch,"Catholic Univ Louvain, Inst Life Sci, Croix Sud 4-5,bte L7 07 06, B-1348 Louvain la Neuve, Belgium.","['Science & Technology - Other Topics', 'Materials Science']",[],"['ION CONDUCTANCE MICROSCOPY', 'CUT-AND-PASTE', 'BARREL PROTEIN OMPG', 'ONE BETA-HAIRPIN', 'HIGH-SPEED AFM', 'SINGLE-MOLECULE', 'CELL-ADHESION', 'LIVING CELLS', 'MEMBRANE-PROTEINS', 'LIVE CELLS']","[['Belgian National Foundation for Scientific Research (FNRS)', ''], ['Universit catholique de Louvain (Fonds Speciaux de Recherche)', ''], ['Swiss National Science Foundation (SNF)', '310030B_160225'], ['NCCR Molecular Systems Engineering', ''], ['Swiss Nanoscience Institute', ''], ['ERC grant CelluFuel', '']]"
"Recent Advances in Cantilever-Free Scanning Probe Lithography: High-Throughput, Space Confined Synthesis of Nanostructures and Beyond","['He, Qiyuan', 'Tan, Chaoliang', 'Zhang, Hua']",ACS NANO,11,5,May-17,HZhang@ntu.edu.sg,"Nanyang Technol Univ, Sch Mat Sci & Engn, Ctr Programmable Mat, 50 Nanyang Ave, Singapore 639798, Singapore.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science']",[],"['POLYMER PEN LITHOGRAPHY', 'BLOCK-COPOLYMER LITHOGRAPHY', 'GRAPHENE OXIDE', 'NANOPARTICLES', 'TIP']","[['MOE under AcRF', 'ARC 19/15\xa0\nMOE2014-T2-2-093\xa0\nMOE2015-T2-2-057\xa0\nMOE2016-T2-2-103\xa0\n2016-T1-001-147\xa0\n2016-T1-002-051'], ['NTU in Singapore', 'M4081296.070.500000']]"
Polymer-Pen Chemical Lift-Off Lithography,"['Xu, Xiaobin', 'Yang, Qing', 'Cheung, Kevin M.', 'Zhao, Chuanzhen', 'Wattanatorn, Natcha', 'Belling, Jason N.', 'Abendroth, John M.', 'Slaughter, Liane S.', 'Mirkin, Chad A.', 'Andrews, Anne M.', 'Weiss, Paul S.']",NANO LETTERS,17,5,May-17,aandrews@mednet.ucla.edu; psw@cnsi.ucla.edu,"Univ Calif Los Angeles, Calif NanoSyst Inst, Los Angeles, CA 90095 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['Chemical patterning', 'soft lithography', 'microcontact printing', 'nanolithography', 'alkanethiols', 'DNA hybridization']","['ELECTRON-BEAM LITHOGRAPHY', 'SELF-ASSEMBLED MONOLAYERS', 'X-RAY-LITHOGRAPHY', 'SOFT LITHOGRAPHY', 'QUANTUM DOTS', 'DNA-BINDING', 'NM', 'FABRICATION', 'NANOSCALE', 'ARRAYS']","[['National Science Foundation', 'CMMI-1636136'], ['China Scholarship Council for CSC-UCLA scholarship', ''], ['Royal Thai Government', ''], ['Merkin Family Foundation', ''], ['Air Force Office of Scientific Research', 'FA9550-12-1-0141\xa0\nFA9550-16-1-0150']]"
Aziridine-functionalized polydimethylsiloxanes for tailorable polymeric scaffolds: aziridine as a clickable moiety for structural modification of materials,"['Moon, Hyun Kyung', 'Kang, Seohyun', 'Yoon, Hyo Jae']",POLYMER CHEMISTRY,8,15,APR 21 2017,hyoon@korea.ac.kr,"Korea Univ, Dept Chem, Seoul 136701, South Korea.",['Polymer Science'],[],"['RING-OPENING POLYMERIZATION', 'LIVING ANIONIC-POLYMERIZATION', 'SELF-ASSEMBLED MONOLAYERS', 'PDMS', 'CHEMISTRY', 'DEVICES', 'SURFACE', 'POLYAMINES', 'LAYERS', 'FILMS']","[['NRF Korea', 'NRF-2016R1D1A1A02937504\xa0\nNRF20100020209']]"
Clickable Antifouling Polymer Brushes for Polymer Pen Lithography,"['Bog, Uwe', 'Pereira, Andres de los Santos', 'Mueller, Summer L.', 'Havenridge, Shana', 'Parrillo, Viviana', 'Bruns, Michael', 'Holmes, Andrea E.', 'Rodriguez-Emmenegger, Cesar', 'Fuchs, Harald', 'Hirtz, Michael']",ACS APPLIED MATERIALS & INTERFACES,9,13,APR 5 2017,rodriguez@dwi.rwth-aachen.de; michael.hirtz@kit.edu,"Karlsruhe Inst Technol, Inst Nanotechnol INT, Karlsruhe, Germany.","['Science & Technology - Other Topics', 'Materials Science']","['polymer brushes', 'polymer pen lithography', 'PPL', 'antifouling', 'biofrinctional interfaces']","['BIOLOGICAL MEDIA', 'CHEMISTRY', 'SURFACE', 'FUNCTIONALIZATION', 'ARRAYS', 'CYCLOADDITION', 'INTERFACES', 'COATINGS', 'ADHESION', 'DENSITY']","[['Karlsruhe Nano Micro Facility (KNMF), a Helmholtz Research Infrastructure at Karlsruhe Institute of Technology (KIT)', ''], ['Federal Ministry of Economics and Technology on the basis of a decision by the German Bundestag', ''], ['National Science Foundation', '1459838'], ['National Institute for General Medical Science (NIGMS)', '5P20GM103427'], ['Center for Chemical Polymer Technology (CPT) under EU', ''], ['federal state of North Rhine-Westphalia', 'EFRE 30 00 883 02'], ['Grant Agency of the Czech Republic (GACR)', '15-09368Y']]"
Highly Anisotropic Suspended Planar-Array Chips with Multidimensional Sub-Micrometric Biomolecular Patterns,"['Pablo Agusil, Juan', 'Torras, Nuria', 'Duch, Marta', 'Esteve, Jaume', 'Perez-Garcia, Lluisa', 'Samitier, Josep', 'Plaza, Jose A.']",ADVANCED FUNCTIONAL MATERIALS,27,13,APR 5 2017,joseantonio.plaza@imb-cnm.csic.es,"CSIC, CNM, IMB, C Dels Tillers Campus UAB, Barcelona 08193, Spain.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['POLYMER-PEN LITHOGRAPHY', 'PROTEIN ARRAYS', 'FEATURE SIZE', 'TIP ARRAYS', 'TECHNOLOGIES', 'MICROARRAY', 'FORCE', 'MICROPARTICLES', 'SURFACE', 'TOOL']","[['EU ERDF (FEDER)', ''], ['Spanish Government', 'TEC2014-51940\xa0\nTEC2015-70104-P'], ['Generalitat de Catalunya', '2014 SGR 1442'], ['Instituto de Salud Carlos III', '']]"
Tip-Based Nanofabrication for Scalable Manufacturing,"['Hu, Huan', 'Kim, Hoe Joon', 'Somnath, Suhas']",MICROMACHINES,8,3,Mar-17,huhuan99@gmail.com; kim.hoejoon@gmail.com; suhas.somnath@gmail.com,"IBM TJ Watson Res Ctr, Dept Sci & Solut, Yorktown Hts, NY 10598 USA.","['Science & Technology - Other Topics', 'Instruments & Instrumentation']","['tip-based nanofabrication', 'scanning probe lithography', 'scalable nanomanufacturing', 'atomic force microscope', 'scanning tunneling microscope']","['ATOMIC-FORCE-MICROSCOPE', 'SCANNING TUNNELING MICROSCOPE', 'DIP-PEN NANOLITHOGRAPHY', 'SILICON MICROCANTILEVER HEATERS', 'NANOMETER-SCALE LITHOGRAPHY', 'NEAR-FIELD', 'NANOFOUNTAIN-PROBE', 'DATA-STORAGE', 'DIRECT DELIVERY', 'THERMAL PROBE']",[]
Nanopatterned Extracellular Matrices Enable Cell-Based Assays with a Mass Spectrometric Readout,"['Cabezas, Maria D.', 'Mirkin, Chad A.', 'Mrksich, Milan']",NANO LETTERS,17,3,Mar-17,chadnano@northwestern.edu; milan.mrksich@northwestern.edu,"Northwestern Univ, Dept Chem, 2145 Sheridan Rd, Evanston, IL 60208 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['Self-assembled monolayer', 'SAMDI mass spectrometry', 'phosphatase inhibitor', 'polymer pen nanolithography']","['DIP-PEN NANOLITHOGRAPHY', 'SELF-ASSEMBLED MONOLAYERS', 'GREEN FLUORESCENT PROTEIN', 'FEATURE SIZE', 'DISCOVERY', 'LITHOGRAPHY', 'INHIBITORS', 'BIOCHIPS', 'PEPTIDE', 'RGD']","[['National Cancer Institute of the National Institutes of Health', 'U54CA199091'], ['AFOSR', 'FA9550-12-1-0141\xa0\nFA9550-16-1-0150'], ['Soft and Hybrid Nanotechnology Experimental (SHyNE) Resource', 'NSF ECCS-1542205'], ['MRSEC program at the Materials Research Center', 'NSF DMR-1121262'], ['International Institute for Nanotechnology (IIN)', ''], ['Keck Foundation', ''], ['State of Illinois through the IIN', '']]"
Highly sensitive flexible tactile sensors based on microstructured multiwall carbon nanotube arrays,"['Li, Xiang', 'Huang, Wen', 'Yao, Guang', 'Gao, Min', 'Wei, Xiongbang', 'Liu, Zhiwei', 'Zhang, Hua', 'Gong, Tianxun', 'Yu, Bin']",SCRIPTA MATERIALIA,129,UNDEFINED,MAR 1 2017,uestchw@uestc.edu.cn; bin.yu@ieee.org,"Univ Elect Sci & Technol China, State Key Lab Elect Thin Films & Integrated Devic, Chengdu 610054, Peoples R China.","['Science & Technology - Other Topics', 'Materials Science', 'Metallurgy & Metallurgical Engineering']","['Pizeoresistive', 'Pressure sensor', 'Tactile', 'Carbon nanotube', 'Sensitivity']","['PRESSURE SENSORS', 'TRANSPARENT', 'ELECTRONICS', 'SKIN', 'FILMS']","[['National Basic Research Program of China (973 Program)', '2015CB351905'], ['National Natural Science Foundation of China', '61474016']]"
Heterogeneous Monolithic Integration of Single-Crystal Organic Materials,"['Park, Kyung Sun', 'Baek, Jangmi', 'Park, Yoonkyung', 'Lee, Lynn', 'Hyon, Jinho', 'Lee, Yong-Eun Koo', 'Shrestha, Nabeen K.', 'Kang, Youngjong', 'Sung, Myung Mo']",ADVANCED MATERIALS,29,6,FEB 10 2017,smm@hanynag.ac.kr,"Hanyang Univ, Dept Chem, Seoul 04763, South Korea.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['FIELD-EFFECT TRANSISTORS', 'THIN-FILM TRANSISTORS', 'LIGHT-EMITTING-DIODES', 'DIP-PEN NANOLITHOGRAPHY', 'VERTICAL BRIDGMAN TECHNIQUE', 'COMPLEMENTARY LOGIC GATES', 'PHYSICAL VAPOR GROWTH', 'HIGH-MOBILITY', 'CHARGE-TRANSPORT', 'LARGE-AREA']","[['Nano.Material Technology Development Program through the National Research Foundation of Korea (NRF) - Ministry of Science, ICT & Future Planning', '2012M3A7B4034985'], ['Creative Materials Discovery Program through the National Research Foundation of Korea (NRF) - Ministry of Science, ICT & Future Planning', '2015M3D1A1068061'], ['National Research Foundation of Korea (NRF) - Korea government (MIST)', '2014R1A2A1A10050257'], ['Samsung Research Funding Center of Samsung Electronics', 'SRFC-MA1401-05']]"
Toward 4D Nanoprinting with Tip-Induced Organic Surface Reactions,"['Carbonell, Carlos', 'Braunschweig, Adam B.']",ACCOUNTS OF CHEMICAL RESEARCH,50,2,Feb-17,adam.braunschweig@asrc.cuny.edu,"CUNY, Adv Sci Res Ctr, 85 St Nicholas Terrace, New York, NY 10031 USA.",['Chemistry'],[],"['POLYMER-PEN LITHOGRAPHY', 'CLICK CHEMISTRY', 'HETEROGENEOUS CATALYSIS', 'GLYCAN ARRAYS', 'FEATURE SIZE', 'NANOLITHOGRAPHY', 'FORCE', 'PROBE']","[['National Science Foundation', 'DBI-1353823'], ['Department of Defense', 'MURI 15RT0675'], ['Air Force Office of Scientific Research', 'FA9550-15-1-0232']]"
Biomimetic Phospholipid Membrane Organization on Graphene and Graphene Oxide Surfaces: A Molecular Dynamics Simulation Study,"['Willems, Nathalie', 'Urtizberea, Ainhoa', 'Verre, Andrea F.', 'Iliut, Maria', 'Lelimousin, Mickael', 'Hirtz, Michael', 'Vijayaraghavan, Aravind', 'Sansom, Mark S. P.']",ACS NANO,11,2,Feb-17,aravind@manchester.ac.uk; mark.sansom@bioch.ox.ac.uk,"Univ Oxford, Dept Biochem, South Parks Rd, Oxford OX1 3QU, England.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science']","['molecular dynamics', 'phospholipid bilayer', 'supported lipid membranes', 'dip-pen nanolithography', 'polymer pen lithography']","['DIP-PEN NANOLITHOGRAPHY', 'SUPPORTED LIPID-BILAYERS', 'COARSE-GRAINED MODEL', 'ANOMALOUS DIFFUSION', 'MARTINI MODEL', 'FORCE-FIELD', 'ARRAYS', 'PROTEINS', 'NANOSTRUCTURES', 'ORDER']","[['Biotechnology and Biological Sciences Research Council (BBSRC)', 'BB/J014427/1'], ['Engineering and Physical Sciences Research Council (EPSRC)', 'EP/L01548X/1'], ['Karlsruhe Nano Micro Facility (KNMF)', ''], ['Helmholtz Research Infrastructure at Karlsruhe Institute of Technology (KIT)', ''], [""People Programme (Marie Curie Actions) of the European Union's Seventh Framework Programme FP7"", '328163']]"
POLYMER PEN LITHOGRAPHY FOR BIOSENSING AND BIOMEDICAL APPLICATIONS,"['Hirtz, Michael', 'Kumar, Ravi', 'Bog, Uwe', 'Sekula-Neuner, Sylwia', 'Liu, Hui Yu', 'Pantel, Klaus', 'Cato, Andrew C. B.', 'Fuchs, Harald']",8TH INTERNATIONAL CONFERENCE ON NANOMATERIALS - RESEARCH & APPLICATION (NANOCON 2016),UNDEFINED,UNDEFINED,2017,michael.hirtz@kit.edu,"Karlsruhe Inst Technol, Inst Nanotechnol INT, Eggenstein Leopoldshafen, Germany.","['Science & Technology - Other Topics', 'Materials Science']","['Polymer pen lithography', 'allergy', 'mast cells', 'circulating tumor cells', 'sensors']","['CELLS', 'NANOLITHOGRAPHY', 'ARRAYS', 'INK']","[['Karlsruhe Nano Micro Facility (KNMF)', ''], ['Helmholtz Research Infrastructure at Karlsruhe Institute of Technology (KIT)', '']]"
Fluorescence Analysis of Micro-scale Surface Modification Using Ultrafine Capillary Atmospheric Pressure Plasma Jet for Biochip Fabrication,"['Nagatsu, Masaaki', 'Kinpara, Masahiro', 'Abuzairi, Tomy']",RECENT GLOBAL RESEARCH AND EDUCATION: TECHNOLOGICAL CHALLENGES,519,UNDEFINED,2017,nagatasu.masaaki@shizuoka.ac.jp,"Shizuoka Univ, Res Inst Elect, Shizuoka, Japan.",['Computer Science'],"['Surface modification', 'Ultrafine capillary atmospheric pressure plasma jet', 'Micro-scale patterning', 'Biochip sensor']",['RESOLUTION'],"[['JSPS', '25246029'], ['International Research Collaboration and Scientific Publication', 'DIPA-23.04.1.673453/2015']]"
